	L	s	dL	gs	utility
0	0.0	0.0	0.0	0.0	20.47574403743687
1	0.0	0.04	3.8000000000000003	0.2	25.51524955403731
2	0.0	0.08	6.6000000000000005	0.24	30.554755070637754
3	0.0	0.12	7.0	0.28	35.594260587238196
4	0.0	0.16	7.0	0.28	40.63376610383864
5	0.0	0.2	7.0	0.28	45.67327162043909
6	0.0	0.24	7.0	0.28	50.71277713703953
7	0.0	0.28	7.0	0.28	55.75228265363998
8	0.0	0.32	7.0	0.28	60.791788170240416
9	0.0	0.36	7.0	0.28	65.83129368684087
10	0.0	0.4	7.0	0.28	70.87079920344131
11	0.0	0.44	7.0	0.28	74.11772720633186
12	0.0	0.48	7.0	0.28	77.36465520922243
13	0.0	0.52	7.0	0.32	80.611583212113
14	0.0	0.56	7.0	0.36	83.85851121500357
15	0.0	0.6	7.0	0.36	87.10543921789413
16	0.0	0.64	7.0	0.36	90.35236722078469
17	0.0	0.68	7.0	0.36	93.59929522367526
18	0.0	0.72	7.0	0.36	96.84622322656583
19	0.0	0.76	7.0	0.36	100.09315122945638
20	0.0	0.8	7.0	0.36	103.34007923234695
21	0.0	0.84	7.0	0.36	103.34007923234695
22	0.0	0.88	7.0	0.36	103.34007923234695
23	0.0	0.92	7.0	0.36	103.34007923234695
24	0.0	0.96	7.0	0.48	103.34007923234695
25	0.0	1.0	7.0	0.56	103.34007923234695
26	0.2	0.0	-0.2	0.0	22.947230982080526
27	0.2	0.04	3.6	0.2	28.610061950821535
28	0.2	0.08	6.4	0.24	34.272892919562544
29	0.2	0.12	6.8	0.24	39.93572388830355
30	0.2	0.16	6.8	0.24	45.59855485704456
31	0.2	0.2	6.8	0.24	51.26138582578557
32	0.2	0.24	6.8	0.24	56.92421679452657
33	0.2	0.28	6.8	0.24	62.587047763267584
34	0.2	0.32	6.8	0.24	68.2498787320086
35	0.2	0.36	6.8	0.24	73.91270970074959
36	0.2	0.4	6.8	0.24	79.57554066949061
37	0.2	0.44	6.8	0.24	83.14102577871036
38	0.2	0.48	6.8	0.24	86.7065108879301
39	0.2	0.52	6.8	0.32	90.27199599714984
40	0.2	0.56	6.8	0.32	93.8374811063696
41	0.2	0.6	6.8	0.32	97.40296621558934
42	0.2	0.64	6.8	0.32	100.9684513248091
43	0.2	0.68	6.8	0.32	104.53393643402885
44	0.2	0.72	6.8	0.32	108.09942154324858
45	0.2	0.76	6.8	0.32	111.66490665246833
46	0.2	0.8	6.8	0.32	115.23039176168808
47	0.2	0.84	6.8	0.32	115.23039176168808
48	0.2	0.88	6.8	0.32	115.23039176168808
49	0.2	0.92	6.8	0.36	115.23039176168808
50	0.2	0.96	6.8	0.48	115.23039176168808
51	0.2	1.0	6.8	0.56	115.23039176168808
52	0.4	0.0	-0.4	0.0	25.55770660633372
53	0.4	0.04	3.4000000000000004	0.2	31.88139835167656
54	0.4	0.08	6.2	0.24	38.205090097019394
55	0.4	0.12	6.6	0.24	44.52878184236223
56	0.4	0.16	6.6	0.24	50.85247358770506
57	0.4	0.2	6.6	0.24	57.176165333047905
58	0.4	0.24	6.6	0.24	63.49985707839073
59	0.4	0.28	6.6	0.24	69.82354882373357
60	0.4	0.32	6.6	0.24	76.14724056907642
61	0.4	0.36	6.6	0.24	82.47093231441924
62	0.4	0.4	6.6	0.24	88.79462405976209
63	0.4	0.44	6.6	0.24	92.68027766939919
64	0.4	0.48	6.6	0.24	96.5659312790363
65	0.4	0.52	6.6	0.32	100.45158488867341
66	0.4	0.56	6.6	0.32	104.33723849831053
67	0.4	0.6	6.6	0.32	108.22289210794763
68	0.4	0.64	6.6	0.32	112.10854571758475
69	0.4	0.68	6.6	0.32	115.99419932722185
70	0.4	0.72	6.6	0.32	119.87985293685895
71	0.4	0.76	6.6	0.32	123.76550654649607
72	0.4	0.8	6.6	0.32	127.65116015613319
73	0.4	0.84	6.6	0.32	127.65116015613319
74	0.4	0.88	6.6	0.32	127.65116015613319
75	0.4	0.92	6.6	0.36	127.65116015613319
76	0.4	0.96	6.6	0.44	127.65116015613319
