	L	s	dL	gs	utility
0	0.0	0.0	0.0	0.0	68.40883328159438
1	0.0	0.05	1.3	0.12	136.1078836093247
2	0.0	0.1	1.7000000000000002	0.16	170.8965130355047
3	0.0	0.15	1.9000000000000001	0.2	193.0200406760287
4	0.0	0.2	2.1	0.24	208.68135823990028
5	0.0	0.25	2.2	0.28	220.47908365414156
6	0.0	0.3	2.3000000000000003	0.32	229.74615209566304
7	0.0	0.35	2.4000000000000004	0.34	237.24462248124712
8	0.0	0.4	2.4000000000000004	0.38	243.45651354617257
9	0.0	0.45	2.5	0.4	248.6772324954385
10	0.0	0.5	2.5	0.42	253.0726563859271
11	0.0	0.55	2.5	0.46	256.82926534289345
12	0.0	0.6	2.6	0.5	260.09178261963797
13	0.0	0.65	2.6	0.54	262.95830890222805
14	0.0	0.7	2.6	0.58	265.4926015169514
15	0.0	0.75	2.7	0.6	267.75267730481175
16	0.0	0.8	2.7	0.64	269.7795525137945
17	0.0	0.85	2.7	0.68	271.60430977044814
18	0.0	0.9	2.7	0.72	273.24765201750944
19	0.0	0.95	2.7	0.74	274.7193430576835
20	0.0	1.0	2.7	0.78	276.04247008546275
21	0.5	0.0	-0.5	0.0	80.50479408496219
22	0.5	0.05	0.6999999999999997	0.1	165.89617029601249
23	0.5	0.1	1.1999999999999997	0.14	205.40170800697246
24	0.5	0.15	1.3999999999999995	0.2	229.61081969451254
25	0.5	0.2	1.5999999999999996	0.24	246.3670230818306
26	0.5	0.25	1.6999999999999993	0.26	258.8162908903262
27	0.5	0.3	1.7999999999999994	0.3	268.49400882642124
28	0.5	0.35	1.8999999999999995	0.34	276.26453561512574
29	0.5	0.4	1.8999999999999995	0.38	282.6619724203059
30	0.5	0.45	1.9999999999999996	0.4	288.0161198051522
31	0.5	0.5	1.9999999999999996	0.42	292.51662992739926
32	0.5	0.55	1.9999999999999996	0.46	296.3440603619841
33	0.5	0.6	2.0999999999999996	0.5	299.65582642507974
34	0.5	0.65	2.0999999999999996	0.52	302.55935407379445
35	0.5	0.7	2.0999999999999996	0.56	305.1208031842615
36	0.5	0.75	2.1999999999999993	0.6	307.40058701530256
37	0.5	0.8	2.1999999999999993	0.64	309.4432909134762
38	0.5	0.85	2.1999999999999993	0.68	311.27943675095565
39	0.5	0.9	2.1999999999999993	0.72	312.9317431160715
40	0.5	0.95	2.1999999999999993	0.74	314.4113233975527
41	0.5	1.0	2.1999999999999993	0.76	315.7393932711618
42	1.0	0.0	-1.0	0.0	92.78277419600106
43	1.0	0.05	0.09999999999999964	0.08	196.9381472935055
44	1.0	0.1	0.5999999999999996	0.14	240.8892411961282
45	1.0	0.15	0.8999999999999995	0.18	266.84365928305135
46	1.0	0.2	0.9999999999999996	0.22	284.4743562844693
47	1.0	0.25	1.1999999999999993	0.26	297.4391447252282
48	1.0	0.3	1.2999999999999994	0.3	307.44683344052015
49	1.0	0.35	1.2999999999999994	0.34	315.43496188173
50	1.0	0.4	1.3999999999999995	0.38	321.98407784525943
51	1.0	0.45	1.4999999999999996	0.4	327.44213551079395
52	1.0	0.5	1.4999999999999996	0.42	332.019063579885
53	1.0	0.55	1.4999999999999996	0.46	335.9014043823547
54	1.0	0.6	1.5999999999999996	0.48	339.24999584976746
55	1.0	0.65	1.5999999999999996	0.52	342.1819670031634
56	1.0	0.7	1.5999999999999996	0.56	344.76496591754557
57	1.0	0.75	1.5999999999999996	0.6	347.06048490516594
58	1.0	0.8	1.6999999999999993	0.64	349.1159698787037
59	1.0	0.85	1.6999999999999993	0.68	350.9614213778597
60	1.0	0.9	1.6999999999999993	0.72	352.6210034048589
61	1.0	0.95	1.6999999999999993	0.74	354.10695890558
62	1.0	1.0	1.6999999999999993	0.76	355.43874559455594
63	1.5	0.0	-1.5	0.0	104.8376790804744
64	1.5	0.05	1.3322676295501878e-15	0.08	225.02242487331884
65	1.5	0.1	1.3322676295501878e-15	0.14	275.3118544070236
66	1.5	0.15	0.3000000000000016	0.18	303.667366780184
67	1.5	0.2	0.5000000000000018	0.22	322.44190422111245
68	1.5	0.25	0.6000000000000019	0.26	336.007053478105
69	1.5	0.3	0.700000000000002	0.3	346.37215977026483
70	1.5	0.35	0.800000000000002	0.34	354.5933174786978
71	1.5	0.4	0.9000000000000021	0.36	361.29478069659194
72	1.5	0.45	1.0000000000000022	0.4	366.86534056788196
73	1.5	0.5	1.0000000000000022	0.4	371.5205861489676
74	1.5	0.55	1.0000000000000022	0.44	375.4567536903113
75	1.5	0.6	1.1000000000000023	0.48	378.84121073086555
76	1.5	0.65	1.1000000000000023	0.52	381.7998828852163
77	1.5	0.7	1.1000000000000023	0.56	384.40235186616314
78	1.5	0.75	1.1000000000000023	0.6	386.7117751829004
79	1.5	0.8	1.2000000000000024	0.64	388.77826275654866
80	1.5	0.85	1.2000000000000024	0.68	390.6315181949213
81	1.5	0.9	1.2000000000000024	0.72	392.29734258685966
82	1.5	0.95	1.2000000000000024	0.74	393.78850899674916
83	1.5	1.0	1.2000000000000024	0.76	395.1230737637737
84	2.0	0.0	-2.0	0.0	115.68044297013013
85	2.0	0.05	1.7763568394002505e-15	0.06	244.65240615679755
86	2.0	0.1	1.7763568394002505e-15	0.12	303.14125026796813
87	2.0	0.15	1.7763568394002505e-15	0.16	336.60949023604576
88	2.0	0.2	1.7763568394002505e-15	0.2	358.13630476393575
89	2.0	0.25	0.10000000000000187	0.24	373.18059501129227
90	2.0	0.3	0.20000000000000195	0.28	384.4118734465235
91	2.0	0.35	0.30000000000000204	0.32	393.1769303629353
92	2.0	0.4	0.40000000000000213	0.36	400.2304599201333
93	2.0	0.45	0.40000000000000213	0.4	406.03493418284944
94	2.0	0.5	0.5000000000000022	0.4	410.86740645437834
