	L	s	dL	gs	utility
0	0.0	0.0	0.0	0.0	1.6935492580518798
1	0.0	0.05	0.4	0.5	3.7054287026142134
2	0.0	0.1	0.6000000000000001	0.6	5.042287214148212
3	0.0	0.15	0.7000000000000001	0.7000000000000001	6.032633701659955
4	0.0	0.2	0.7000000000000001	0.8	6.819128740076692
5	0.0	0.25	0.7000000000000001	0.88	7.459013297567347
6	0.0	0.3	0.8	0.96	8.000532745843625
7	0.0	0.35	0.8	1.0	8.463999003558841
8	0.0	0.4	0.8	1.0	8.861225889299671
9	0.0	0.45	0.9	1.0	9.204035562215758
10	0.0	0.5	0.9	1.0	9.502386639967181
11	0.0	0.55	0.9	1.0	9.761746964854325
12	0.0	0.6	0.9	1.0	9.98686269997395
13	0.0	0.65	0.9	1.0	10.181848715921081
14	0.0	0.7	0.9	1.0	10.350267477175912
15	0.0	0.75	0.9	1.0	10.495198489214907
16	0.0	0.8	0.9	1.0	10.619307127397153
17	0.0	0.85	1.0	1.0	10.725731799094786
18	0.0	0.9	1.0	1.0	10.817247240456814
19	0.0	0.95	1.0	1.0	10.895230568468376
20	0.0	1.0	1.0	1.0	10.960977438920635
21	0.5	0.0	-0.5	0.0	12.29793452215396
22	0.5	0.05	-1.1102230246251565e-16	0.12	36.70548548879857
23	0.5	0.1	-1.1102230246251565e-16	0.22	44.93713925756176
24	0.5	0.15	-1.1102230246251565e-16	0.34	48.83500388563811
25	0.5	0.2	-1.1102230246251565e-16	0.46	51.048883425114596
26	0.5	0.25	0.09999999999999987	0.58	52.46535333663335
27	0.5	0.3	0.09999999999999987	0.7000000000000001	53.49040464227149
28	0.5	0.35	0.19999999999999984	0.78	54.28876617131794
29	0.5	0.4	0.19999999999999984	0.88	54.93037371744871
30	0.5	0.45	0.2999999999999998	0.96	55.46781434054956
31	0.5	0.5	0.2999999999999998	1.0	55.92275295139153
32	0.5	0.55	0.2999999999999998	1.0	56.307414529471686
33	0.5	0.6	0.3999999999999998	1.0	56.636302152933034
34	0.5	0.65	0.3999999999999998	1.0	56.918392815279574
35	0.5	0.7	0.3999999999999998	1.0	57.15966538921637
36	0.5	0.75	0.3999999999999998	1.0	57.365073411949936
37	0.5	0.8	0.3999999999999998	1.0	57.53896290497423
38	0.5	0.85	0.3999999999999998	1.0	57.68522682130023
39	0.5	0.9	0.3999999999999998	1.0	57.80721885194757
40	0.5	0.95	0.4999999999999998	1.0	57.90937001779941
41	0.5	1.0	0.4999999999999998	1.0	57.99466989880255
42	1.0	0.0	-1.0	0.0	21.131783768646326
43	1.0	0.05	-2.220446049250313e-16	0.08	58.54430100281343
44	1.0	0.1	-2.220446049250313e-16	0.16	74.35126124667075
45	1.0	0.15	-2.220446049250313e-16	0.22	82.94513194813953
46	1.0	0.2	-2.220446049250313e-16	0.28	88.28981425112507
47	1.0	0.25	-2.220446049250313e-16	0.34	91.91380036564264
48	1.0	0.3	-2.220446049250313e-16	0.42	94.52588154550955
49	1.0	0.35	-2.220446049250313e-16	0.48	96.49117676405676
50	1.0	0.4	-2.220446049250313e-16	0.56	98.02033604743247
51	1.0	0.45	-2.220446049250313e-16	0.62	99.241567169834
52	1.0	0.5	-2.220446049250313e-16	0.7000000000000001	100.23757947174417
53	1.0	0.55	-2.220446049250313e-16	0.76	101.06398588387741
54	1.0	0.6	-2.220446049250313e-16	0.84	101.75963020310533
55	1.0	0.65	-2.220446049250313e-16	0.9	102.35214906582372
56	1.0	0.7	-2.220446049250313e-16	0.98	102.8620132623221
57	1.0	0.75	-2.220446049250313e-16	1.0	103.30281715507157
58	1.0	0.8	-2.220446049250313e-16	1.0	103.68228219131012
59	1.0	0.85	-2.220446049250313e-16	1.0	104.0071271006186
60	1.0	0.9	-2.220446049250313e-16	1.0	104.28327080078235
61	1.0	0.95	-2.220446049250313e-16	1.0	104.51591844752181
62	1.0	1.0	-2.220446049250313e-16	1.0	104.7095441891795
63	1.5	0.0	-1.5	0.0	28.008830751974358
64	1.5	0.05	1.3322676295501878e-15	0.08	73.59679264682593
65	1.5	0.1	1.3322676295501878e-15	0.12	95.48302575792525
66	1.5	0.15	1.3322676295501878e-15	0.16	108.29241544412743
67	1.5	0.2	1.3322676295501878e-15	0.22	116.7068538997307
68	1.5	0.25	1.3322676295501878e-15	0.26	122.66242206399077
69	1.5	0.3	1.3322676295501878e-15	0.3	127.09231986988269
70	1.5	0.35	1.3322676295501878e-15	0.34	130.51375217894477
71	1.5	0.4	1.3322676295501878e-15	0.4	133.2363165762298
72	1.5	0.45	1.3322676295501878e-15	0.44	135.45091162738552
73	1.5	0.5	1.3322676295501878e-15	0.48	137.285658847032
74	1.5	0.55	1.3322676295501878e-15	0.54	138.8299450563001
75	1.5	0.6	1.3322676295501878e-15	0.58	140.14561369159162
76	1.5	0.65	1.3322676295501878e-15	0.64	141.27870887193401
77	1.5	0.7	1.3322676295501878e-15	0.66	142.26256359342008
78	1.5	0.75	1.3322676295501878e-15	0.68	143.11794690066031
79	1.5	0.8	1.3322676295501878e-15	0.74	143.8666520516919
80	1.5	0.85	1.3322676295501878e-15	0.78	144.52753371182874
81	1.5	0.9	1.3322676295501878e-15	0.84	145.11445093574596
82	1.5	0.95	1.3322676295501878e-15	0.9	145.63807823188884
83	1.5	1.0	1.3322676295501878e-15	0.96	146.10642951328538
84	2.0	0.0	-2.0	0.0	33.372928470617445
85	2.0	0.05	1.7763568394002505e-15	0.06	84.40332303266202
86	2.0	0.1	1.7763568394002505e-15	0.1	110.93213093246271
87	2.0	0.15	1.7763568394002505e-15	0.14	127.33606738084477
88	2.0	0.2	1.7763568394002505e-15	0.18	138.53156821468235
89	2.0	0.25	1.7763568394002505e-15	0.2	146.68003679053825
90	2.0	0.3	1.7763568394002505e-15	0.24	152.89597629963012
91	2.0	0.35	1.7763568394002505e-15	0.28	157.7928709234684
92	2.0	0.4	1.7763568394002505e-15	0.32	161.74988592071622
93	2.0	0.45	1.7763568394002505e-15	0.36	165.01330274714954
94	2.0	0.5	1.7763568394002505e-15	0.38	167.75132332519124
95	2.0	0.55	1.7763568394002505e-15	0.42	170.07950253316733
96	2.0	0.6	1.7763568394002505e-15	0.46	172.08191286127047
97	2.0	0.65	1.7763568394002505e-15	0.5	173.82057038762773
98	2.0	0.7	1.7763568394002505e-15	0.5	175.33809670250292
99	2.0	0.75	1.7763568394002505e-15	0.54	176.66442022435538
100	2.0	0.8	1.7763568394002505e-15	0.56	177.83454985132653
101	2.0	0.85	1.7763568394002505e-15	0.6	178.8737542073518
102	2.0	0.9	1.7763568394002505e-15	0.64	179.80173394837743
103	2.0	0.95	1.7763568394002505e-15	0.7000000000000001	180.6336988638524
104	2.0	1.0	1.7763568394002505e-15	0.74	181.38132577578878
105	2.5	0.0	-2.5	0.0	37.57519101298783
106	2.5	0.05	2.220446049250313e-15	0.06	92.12144277576266
107	2.5	0.1	2.220446049250313e-15	0.1	122.1488370990136
108	2.5	0.15	2.220446049250313e-15	0.12	141.6102165028501
109	2.5	0.2	2.220446049250313e-15	0.16	155.26167744243833
110	2.5	0.25	2.220446049250313e-15	0.18	165.45494047996874
111	2.5	0.3	2.220446049250313e-15	0.2	173.34829721038415
112	2.5	0.35	2.220446049250313e-15	0.24	179.66640579346807
113	2.5	0.4	2.220446049250313e-15	0.26	184.8359520843782
114	2.5	0.45	2.220446049250313e-15	0.3	189.14646193619998
115	2.5	0.5	2.220446049250313e-15	0.32	192.79668294364447
116	2.5	0.55	2.220446049250313e-15	0.36	195.92455557881246
117	2.5	0.6	2.220446049250313e-15	0.38	198.63656359201994
118	2.5	0.65	2.220446049250313e-15	0.4	201.0060669457937
119	2.5	0.7	2.220446049250313e-15	0.4	203.07801524023864
120	2.5	0.75	2.220446049250313e-15	0.44	204.90410367241657
121	2.5	0.8	2.220446049250313e-15	0.46	206.52444415163203
122	2.5	0.85	2.220446049250313e-15	0.5	207.97218218850546
123	2.5	0.9	2.220446049250313e-15	0.54	209.27108188665952
124	2.5	0.95	2.220446049250313e-15	0.56	210.44026334969698
125	2.5	1.0	2.220446049250313e-15	0.6	211.49563238003586
126	3.0	0.0	-3.0	0.0	40.842672206483535
127	3.0	0.05	2.6645352591003757e-15	0.06	97.39365182786109
128	3.0	0.1	2.6645352591003757e-15	0.08	130.35630643508202
129	3.0	0.15	2.6645352591003757e-15	0.1	152.21450744226883
130	3.0	0.2	2.6645352591003757e-15	0.14	168.02285054742993
131	3.0	0.25	2.6645352591003757e-15	0.16	180.02838931014665
132	3.0	0.3	2.6645352591003757e-15	0.18	189.47543723819047
133	3.0	0.35	2.6645352591003757e-15	0.2	197.11458046745545
134	3.0	0.4	2.6645352591003757e-15	0.24	203.4332684880009
135	3.0	0.45	2.6645352591003757e-15	0.26	208.7555463116871
136	3.0	0.5	2.6645352591003757e-15	0.28	213.29937228383486
137	3.0	0.55	2.6645352591003757e-15	0.3	217.22251292233483
138	3.0	0.6	2.6645352591003757e-15	0.32	220.64167426381962
139	3.0	0.65	2.6645352591003757e-15	0.34	223.63832428630266
140	3.0	0.7	2.6645352591003757e-15	0.36	226.27302076692789
141	3.0	0.75	2.6645352591003757e-15	0.38	228.6087635501819
142	3.0	0.8	2.6645352591003757e-15	0.4	230.69290548001396
143	3.0	0.85	2.6645352591003757e-15	0.42	232.5625614279171
144	3.0	0.9	2.6645352591003757e-15	0.46	234.2489047872016
145	3.0	0.95	2.6645352591003757e-15	0.48	235.77240105125878
146	3.0	1.0	2.6645352591003757e-15	0.52	237.15140120411994
147	3.5	0.0	-3.5	0.0	43.36217827297475
148	3.5	0.05	3.1086244689504383e-15	0.06	100.8637673986087
149	3.5	0.1	3.1086244689504383e-15	0.08	136.00037504711912
150	3.5	0.15	3.1086244689504383e-15	0.1	160.03864790331926
151	3.5	0.2	3.1086244689504383e-15	0.12	177.6834560997915
152	3.5	0.25	3.1086244689504383e-15	0.14	191.26855270760254
153	3.5	0.3	3.1086244689504383e-15	0.16	202.09390894880337
154	3.5	0.35	3.1086244689504383e-15	0.18	210.94652698787775
155	3.5	0.4	3.1086244689504383e-15	0.2	218.33363276757808
156	3.5	0.45	3.1086244689504383e-15	0.22	224.5984764477687
157	3.5	0.5	3.1086244689504383e-15	0.24	229.9826302714375
158	3.5	0.55	3.1086244689504383e-15	0.26	234.66171702750427
159	3.5	0.6	3.1086244689504383e-15	0.28	238.7670023893867
160	3.5	0.65	3.1086244689504383e-15	0.3	242.378906377131
161	3.5	0.7	3.1086244689504383e-15	0.32	245.5756891735456
162	3.5	0.75	3.1086244689504383e-15	0.34	248.4254460195227
163	3.5	0.8	3.1086244689504383e-15	0.36	250.98034527510265
164	3.5	0.85	3.1086244689504383e-15	0.38	253.2812354818201
165	3.5	0.9	3.1086244689504383e-15	0.4	255.3603718763058
166	3.5	0.95	3.1086244689504383e-15	0.42	257.2434845726651
167	3.5	1.0	3.1086244689504383e-15	0.44	258.9512298674734
168	4.0	0.0	-4.0	0.0	45.24377721039749
169	4.0	0.05	-0.19999999999999662	0.06	102.98596918237776
170	4.0	0.1	3.552713678800501e-15	0.08	139.598589638355
171	4.0	0.15	3.552713678800501e-15	0.1	165.3009084770795
172	4.0	0.2	3.552713678800501e-15	0.12	184.52104358354384
173	4.0	0.25	3.552713678800501e-15	0.14	199.52982175808722
