	L	s	dL	gs	utility
0	0.0	0.0	0.0	0.0	15.703039657794548
1	0.0	0.1	7.6000000000000005	0.26	25.423428564876392
2	0.0	0.2	10.0	0.3	34.76443625601054
3	0.0	0.3	10.0	0.32	43.26787488869627
4	0.0	0.4	10.0	0.34	51.275586800551814
5	0.0	0.5	10.0	0.34	58.69519420467637
6	0.0	0.6	10.0	0.36	65.67303429040146
7	0.0	0.7	10.0	0.38	72.17296116830883
8	0.0	0.8	10.0	0.38	78.29032420897695
9	0.0	0.9	10.0	0.4	83.99509332975954
10	0.0	1.0	10.0	0.4	89.31647327130035
11	1.0	0.0	-1.0	0.0	44.92830299871794
12	1.0	0.1	-2.220446049250313e-16	0.12	92.60489736928
13	1.0	0.2	-2.220446049250313e-16	0.24	108.94072877660906
14	1.0	0.3	6.599999999999998	0.26	119.21670588498435
15	1.0	0.4	8.999999999999998	0.3	128.7881168931661
16	1.0	0.5	8.999999999999998	0.32	137.60206214914314
17	1.0	0.6	8.999999999999998	0.32	145.81199766073848
18	1.0	0.7	8.999999999999998	0.34	153.43722337780434
19	1.0	0.8	8.999999999999998	0.36	160.53928928056246
20	1.0	0.9	8.999999999999998	0.38	167.13606011180258
21	1.0	1.0	8.999999999999998	0.38	173.2602202217518
22	2.0	0.0	-2.0	0.0	74.05818211415693
23	2.0	0.1	-4.440892098500626e-16	0.1	151.95539697067426
24	2.0	0.2	-4.440892098500626e-16	0.16	183.75471773161595
25	2.0	0.3	-4.440892098500626e-16	0.22	201.03944020738632
26	2.0	0.4	-4.440892098500626e-16	0.28	212.1835707709165
27	2.0	0.5	6.799999999999997	0.28	222.01069572431243
28	2.0	0.6	7.999999999999998	0.3	231.27007037830793
29	2.0	0.7	7.999999999999998	0.32	239.74997677857732
30	2.0	0.8	7.999999999999998	0.34	247.65116695881886
31	2.0	0.9	7.999999999999998	0.36	254.92713858611802
32	2.0	1.0	7.999999999999998	0.36	261.6689957624301
33	3.0	0.0	-3.0	0.0	100.2551499869831
34	3.0	0.1	2.6645352591003757e-15	0.08	202.20403064565835
35	3.0	0.2	2.6645352591003757e-15	0.12	248.70731698423373
36	3.0	0.3	2.6645352591003757e-15	0.18	275.5884268100948
37	3.0	0.4	2.6645352591003757e-15	0.22	293.26652328001103
38	3.0	0.5	2.6645352591003757e-15	0.26	305.9236509292636
